Frame,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,up_left_x,up_left_y,up_right_x,up_right_y
198,464,1120,1138,1131,1085,515,1372,515
199,464,1120,1140,1131,1085,515,1374,515
200,465,1120,1141,1131,1086,515,1375,515
201,467,1120,1141,1131,1088,515,1375,515
202,468,1120,1140,1131,1089,515,1374,515
203,469,1120,1142,1131,1090,515,1376,515
204,468,1120,1141,1131,1089,515,1375,515
205,467,1120,1142,1131,1088,515,1376,515
206,466,1120,1142,1131,1087,515,1376,515
207,466,1120,1144,1131,1087,515,1378,515
208,466,1120,1145,1131,1087,515,1379,515
209,463,1120,1146,1131,1084,515,1380,515
210,462,1120,1150,1131,1083,515,1384,515
211,470,1120,1147,1131,1091,515,1381,515
212,470,1120,1147,1131,1091,515,1381,515
213,470,1120,1146,1131,1091,515,1380,515
214,472,1120,1147,1131,1093,515,1381,515
215,477,1120,1145,1131,1098,515,1379,515
216,478,1120,1145,1131,1099,515,1379,515
217,480,1120,1145,1131,1101,515,1379,515
218,480,1121,1146,1132,1101,516,1380,516
219,480,1121,1147,1132,1101,516,1381,516
220,481,1121,1148,1132,1102,516,1382,516
221,481,1121,1149,1132,1102,516,1383,516
222,481,1121,1153,1132,1102,516,1387,516
223,480,1121,1156,1132,1101,516,1390,516
224,480,1121,1158,1132,1101,516,1392,516
225,477,1121,1159,1132,1098,516,1393,516
226,477,1121,1160,1132,1098,516,1394,516
