"[[-1014, 1033, 984, 1062]]",[[1195  686 1236  577]],[[589 837 771 661]]
"[[-1014, 1034, 984, 1063]]",[[1145  813 1186  705]],[[591 835 743 688]]
"[[-1014, 1034, 984, 1063]]",[[1141  821 1179  721]],[[792 641 932 506]]
"[[-1014, 1035, 984, 1064]]",[[1139  823 1177  722]],[[640 787 742 688]]
"[[-1014, 1036, 984, 1065]]",[[1202  656 1241  552]],[[822 611 931 506]]
"[[-1014, 1037, 984, 1066]]",[[1120  868 1167  744]],[[777 653 925 510]]
"[[-1015, 1036, 983, 1067]]",[[1175  720 1228  582]],[[599 824 756 672]]
"[[-1015, 1037, 983, 1068]]",[[1173  722 1230  573]],[[657 768 764 664]]
"[[-1015, 1037, 983, 1068]]",[[1173  719 1231  568]],[[776 652 911 522]]
"[[-1015, 1038, 983, 1069]]",[[756 671 909 523]],[[1477  543 1488  703]]
"[[-1015, 1039, 983, 1070]]",[[1119  855 1185  683]],[[766 659 868 563]]
"[[-1015, 1039, 983, 1070]]",[[1111  872 1223  581]],[[773 651 959 477]]
"[[-1015, 1040, 983, 1071]]",[[1167  724 1208  617]],[[770 653 892 539]]
"[[-1015, 1040, 983, 1071]]",[[1170  711 1221  580]],[[817 609 920 510]]
"[[-1015, 1041, 983, 1072]]",[[1110  863 1150  759]],[[770 651 873 555]]
"[[-1015, 1041, 983, 1072]]",[[1166  714 1218  579]],[[533 877 646 768]]
"[[-1015, 1042, 983, 1073]]",[[1108  862 1153  744]],[[531 876 633 781]]
"[[-1016, 1041, 982, 1074]]",[[1106  864 1154  737]],[[773 645 927 501]]
"[[-1016, 1041, 982, 1074]]",[[1084  918 1149  748]],[[527 878 652 761]]
"[[-1016, 1042, 982, 1075]]",[[1119  820 1165  699]],[[780 638 895 527]]
"[[-1016, 1042, 982, 1075]]",[[1163  705 1210  583]],[[523 879 674 738]]
"[[-1016, 1043, 982, 1076]]",[[1097  873 1163  700]],[[566 840 694 717]]
"[[-1015, 1044, 983, 1075]]",[[1162  700 1205  588]],[[518 882 646 762]]
"[[-1015, 1045, 983, 1076]]",[[1159  701 1208  573]],[[564 838 707 700]]
"[[-1015, 1045, 983, 1076]]",[[1116  808 1157  701]],[[565 837 714 693]]
"[[-1015, 1046, 983, 1077]]",[[1158  700 1200  591]],[[562 840 719 688]]
"[[-1015, 1046, 983, 1077]]",[[1151  715 1203  579]],[[789 622 898 517]]
"[[-1014, 1048, 984, 1077]]",[[1073  919 1116  806]],[[615 789 734 674]]
"[[-1014, 1048, 984, 1077]]",[[1072  918 1114  808]],[[623 781 727 680]]
"[[-1014, 1049, 984, 1078]]",[[1068  926 1136  748]],[[616 787 750 658]]
"[[-1014, 1049, 984, 1078]]",[[1092  861 1137  742]],[[569 832 752 655]]
"[[-1013, 1050, 985, 1077]]",[[1093  861 1136  747]],[[797 614 898 516]]
"[[-1013, 1051, 985, 1078]]",[[1101  844 1148  717]],[[617 788 899 516]]
"[[-1013, 1051, 985, 1078]]",[[1105  840 1150  718]],[[620 788 721 690]]
"[[-1013, 1051, 985, 1078]]",[[1108  841 1152  721]],[[618 793 722 693]]
"[[-1012, 1053, 986, 1078]]",[[1107  860 1158  720]],[[546 868 850 574]]
"[[-1012, 1053, 986, 1078]]",[[1100  894 1146  768]],[[550 869 741 684]]
"[[-1012, 1053, 986, 1078]]",[[1091  929 1158  744]],[[541 882 933 504]]
"[[-1012, 1053, 986, 1078]]",[[1120  859 1171  719]],[[571 858 786 650]]
"[[-1012, 1054, 986, 1079]]",[[1177  717 1248  524]],[[656 781 759 681]]
"[[-1011, 1055, 987, 1078]]",[[1100  929 1175  723]],[[576 860 911 536]]
"[[-1011, 1055, 987, 1078]]",[[1114  896 1178  721]],[[565 872 941 509]]
"[[-1011, 1055, 987, 1078]]",[[1115  898 1180  720]],[[690 753 933 518]]
"[[-1010, 1056, 988, 1077]]",[[1103  937 1164  770]],[[594 851 719 730]]
"[[-1010, 1056, 988, 1077]]",[[1105  941 1177  741]],[[569 879 755 699]]
"[[-1010, 1056, 988, 1077]]",[[1132  872 1175  758]],[[578 876 712 746]]
