Frame,hx1,hy1,hx2,hy2,lx1,ly1,lx2,ly2,rx1,ry1,rx2,ry2
122,-1016.87117742,1042.9491879,982.87117742,1075.0508121,-39,1411,1411,39,771,1728,1728,-771
123,-1016.87117742,1042.9491879,982.87117742,1075.0508121,-37,1410,1410,37,770,1727,1727,-770
124,-1016.87142032,1043.96432628,982.87142032,1076.03567372,-35,1409,1409,35,769,1725,1725,-769
125,-1015.88609992,1044.90737962,983.88609992,1075.09262038,-32,1408,1408,32,768,1723,1723,-768
126,-1015.88631448,1045.92160129,983.88631448,1076.07839871,-30,1407,1407,30,768,1721,1721,-768
127,-1015.88631448,1045.92160129,983.88631448,1076.07839871,-28,1406,1406,28,767,1719,1719,-767
128,-1015.88652844,1046.93579618,983.88652844,1077.06420382,-27,1405,1405,27,767,1717,1717,-767
129,-1015.88652844,1046.93579618,983.88652844,1077.06420382,-26,1405,1405,26,768,1715,1715,-768
130,-1014.90045461,1048.8903981,984.90045461,1077.1096019,-24,1405,1405,24,769,1713,1713,-769
131,-1014.90045461,1048.8903981,984.90045461,1077.1096019,-22,1405,1405,22,771,1712,1712,-771
132,-1014.90064161,1049.90365637,984.90064161,1078.09634363,-22,1406,1406,22,773,1711,1711,-773
133,-1014.90064161,1049.90365637,984.90064161,1078.09634363,-21,1407,1407,21,775,1710,1710,-775
134,-1013.91344614,1050.84324413,985.91344614,1077.15675587,-21,1409,1409,21,778,1710,1710,-778
135,-1013.91360859,1051.85559576,985.91360859,1078.14440424,-22,1411,1411,22,781,1711,1711,-781
136,-1013.91360859,1051.85559576,985.91360859,1078.14440424,-22,1413,1413,22,785,1712,1712,-785
137,-1013.91360859,1051.85559576,985.91360859,1078.14440424,-23,1416,1416,23,788,1713,1713,-788
138,-1012.92564779,1053.80578478,986.92564779,1078.19421522,-23,1418,1418,23,791,1714,1714,-791
139,-1012.92564779,1053.80578478,986.92564779,1078.19421522,-23,1421,1421,23,794,1716,1716,-794
140,-1012.92564779,1053.80578478,986.92564779,1078.19421522,-23,1425,1425,23,797,1719,1719,-797
141,-1012.92564779,1053.80578478,986.92564779,1078.19421522,-23,1428,1428,23,800,1721,1721,-800
142,-1012.92578708,1054.81721159,986.92578708,1079.18278841,-23,1433,1433,23,803,1725,1725,-803
143,-1011.93676428,1055.75422571,987.93676428,1078.24577429,-23,1437,1437,23,806,1728,1728,-806
144,-1011.93676428,1055.75422571,987.93676428,1078.24577429,-23,1442,1442,23,809,1733,1733,-809
145,-1011.93676428,1055.75422571,987.93676428,1078.24577429,-23,1447,1447,23,810,1738,1738,-810
146,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1452,1452,23,812,1742,1742,-812
147,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1457,1457,23,813,1747,1747,-813
148,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1463,1463,23,815,1752,1752,-815
149,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1468,1468,23,817,1756,1756,-817
150,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1473,1473,23,818,1760,1760,-818
151,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-24,1477,1477,24,820,1764,1764,-820
152,-1010.94686363,1056.69126945,988.94686363,1077.30873055,-23,1482,1482,23,822,1768,1768,-822
