0,1,2
[-1044.98264118   973.90362954   952.98264118  1064.09637046],[521 998 591 928],[1270 1072 1307  912]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[521 998 591 928],[1289  990 1308  910]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[906 573 929 501],[1369  659 1385  593]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 517 1002  591  928],[1288  992 1308  909]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[884 609 922 510],[1412  495 1428  432]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[840 570 848 517],[1270 1072 1308  909]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[874 620 912 521],[1369  659 1385  593]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[842 527 853 464],[1369  659 1385  593]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[866 622 894 552],[1369  659 1385  593]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[835 552 847 480],[1372  648 1385  595]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[836 535 849 461],[1369  659 1385  594]
[-1044.0263295    974.88205611   954.0263295   1063.11794389],[ 515 1004  589  930],[1370  657 1385  595]
[-1044.02441845   973.83880272   954.02441845  1062.16119728],[ 516 1003  587  932],[1369  659 1385  594]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 516 1003  588  931],[1370  657 1383  604]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 516 1003  587  932],[1369  659 1385  593]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[1002  515 1085  432],[1369  659 1385  593]
[-1044.98064451   972.85942078   952.98064451  1063.14057922],[ 516 1003  587  932],[1369  658 1386  589]
[-1045.93591445   971.88016898   951.93591445  1064.11983102],[ 489 1031  550  970],[1369  658 1386  589]
[-1045.93382418   970.83491668   951.93382418  1063.16508332],[ 489 1031  550  970],[1369  658 1386  589]
[-1045.93382418   970.83491668   951.93382418  1063.16508332],[881 539 911 485],[1277 1038 1305  922]
[-1045.93382418   970.83491668   951.93382418  1063.16508332],[842 500 852 439],[1369  658 1386  589]
[-1044.97864196   971.81512534   952.97864196  1062.18487466],[ 489 1031  550  970],[1369  658 1386  589]
[-1044.97864196   971.81512534   952.97864196  1062.18487466],[ 588  938  618 1003],[1269 1073 1288  991]
