frame,pA_x,pA_y,pB_x,pB_y,pA_x_smooth,pA_y_smooth,pB_x_smooth,pB_y_smooth
81,1157.0,673.0,1066.0,616.0,1151.6190476190486,678.5238095238101,1068.0476190476202,610.9523809523815
82,1157.0,670.0,1082.0,595.0,1158.952380952382,666.9523809523816,1080.5238095238105,597.8571428571433
83,1160.0,659.0,1095.0,580.0,1164.190476190477,658.0476190476197,1093.3809523809532,583.8095238095243
84,1176.0,645.0,1101.0,578.0,1169.857142857144,648.8095238095244,1104.000000000001,571.5238095238101
85,1175.0,641.0,1114.0,560.0,1180.3809523809534,635.5238095238101,1109.7619047619057,565.2857142857149
86,1190.0,622.0,1115.0,559.0,1189.6666666666679,624.2857142857149,1115.7142857142867,560.3333333333339
87,1201.0,610.0,1118.0,557.0,1195.857142857144,612.7619047619053,1122.5714285714296,551.7619047619053
88,1201.0,605.0,1132.0,546.0,1203.8095238095248,601.6190476190482,1129.7619047619057,544.8095238095243
89,1207.0,591.0,1138.0,530.0,1209.4761904761917,592.7619047619053,1135.809523809525,536.2380952380956
90,1217.0,585.0,1144.0,528.0,1214.2380952380963,584.2380952380959,1143.3333333333344,525.4285714285719
91,1223.0,573.0,1142.0,522.0,1222.1904761904773,573.9523809523814,1147.761904761906,518.571428571429
92,1225.0,567.0,1160.0,506.0,1229.714285714287,564.0000000000005,1153.6666666666677,513.1904761904766
93,1238.0,553.0,1159.0,508.0,1233.904761904763,555.2380952380958,1162.5238095238105,502.7142857142862
94,1240.0,546.0,1171.0,495.0,1237.904761904763,548.8095238095243,1172.7142857142867,491.9047619047623
95,1237.0,546.0,1184.0,477.0,1241.714285714287,542.9047619047624,1180.3333333333344,482.6666666666671
96,1245.0,538.0,1188.0,473.0,1243.3809523809537,537.3333333333338,1188.761904761906,473.0952380952386
97,1249.0,530.0,1194.0,469.0,1248.0000000000011,530.0476190476195,1193.761904761906,467.9047619047623
98,1252.0,520.0,1197.0,465.0,1253.6666666666679,521.6666666666671,1198.3809523809534,463.33333333333377
99,1260.0,515.0,1203.0,458.0,1258.7142857142867,515.0952380952385,1203.2380952380963,457.8095238095242
100,1264.0,509.0,1209.0,450.0,1265.3333333333344,507.9047619047624,1206.3333333333344,453.4761904761909
101,1272.0,502.0,1209.0,451.0,1271.8095238095248,500.52380952381,1209.761904761906,449.7142857142862
102,1278.0,491.0,1211.0,448.0,1276.5714285714298,493.19047619047666,1213.2857142857154,446.2857142857147
103,1280.0,486.0,1219.0,441.0,1280.0000000000014,487.00000000000045,1218.3333333333344,441.42857142857184
104,1282.0,483.0,1225.0,434.0,1282.2857142857156,481.3809523809528,1224.4285714285725,433.8095238095242
105,1284.0,477.0,1231.0,426.0,1285.5714285714298,476.0952380952385,1229.7142857142867,426.5238095238099
106,1290.0,469.0,1233.0,420.0,1289.4285714285725,469.7619047619052,1234.0476190476202,421.0476190476195
107,1295.0,463.0,1238.0,416.0,1293.2857142857156,464.00000000000045,1239.1428571428582,415.57142857142895
108,1296.0,459.0,1245.0,412.0,1297.2857142857156,459.1904761904766,1244.857142857144,409.4285714285718
109,1300.0,456.0,1251.0,403.0,1300.809523809525,454.3333333333337,1249.4285714285725,405.23809523809564
110,1305.0,449.0,1254.0,398.0,1303.5238095238108,449.23809523809564,1252.8095238095248,400.5238095238099
111,1308.0,442.0,1253.0,401.0,1307.952380952382,443.00000000000045,1256.0952380952392,396.5714285714289
112,1309.0,438.0,1260.0,391.0,1310.952380952382,437.3809523809528,1260.0476190476202,392.85714285714323
113,1317.0,431.0,1266.0,388.0,1314.0952380952394,432.1904761904766,1264.5238095238108,387.00000000000034
