frame,pA_x,pA_y,pB_x,pB_y
101,1292.0,637.0,1189.0,564.0
102,1271.0,644.0,1198.0,553.0
103,1293.0,621.0,1186.0,574.0
104,1296.0,616.0,1185.0,579.0
105,1224.0,485.0,1195.0,600.0
106,1220.0,637.0,1271.0,540.0
107,1297.0,626.0,1194.0,563.0
108,1152.0,569.0,1253.0,536.0
109,1250.0,571.0,1157.0,514.0
110,1328.0,588.0,1207.0,579.0
111,1254.0,504.0,1161.0,579.0
112,1303.0,592.0,1186.0,565.0
113,1219.0,487.0,1192.0,600.0
114,1314.0,595.0,1221.0,538.0
115,1261.0,619.0,1278.0,510.0
116,1334.0,558.0,1219.0,561.0
117,1323.0,564.0,1220.0,547.0
118,1324.0,563.0,1213.0,538.0
119,1314.0,580.0,1239.0,511.0
120,1330.0,545.0,1235.0,546.0
121,1323.0,560.0,1238.0,513.0
122,1316.0,574.0,1249.0,497.0
123,1317.0,571.0,1246.0,492.0
124,1335.0,536.0,1232.0,521.0
125,1335.0,546.0,1238.0,503.0
126,1281.0,579.0,1294.0,472.0
127,1336.0,554.0,1243.0,491.0
128,1351.0,456.0,1234.0,473.0
129,1240.0,437.0,1333.0,488.0
130,1344.0,475.0,1233.0,456.0
131,1349.0,523.0,1234.0,510.0
132,1313.0,534.0,1204.0,499.0
133,1251.0,519.0,1214.0,412.0
134,1361.0,513.0,1262.0,490.0
135,1361.0,504.0,1262.0,491.0
136,1262.0,486.0,1377.0,495.0
137,1380.0,487.0,1265.0,490.0
138,1285.0,552.0,1228.0,461.0
139,1373.0,516.0,1276.0,453.0
140,1376.0,493.0,1271.0,480.0
141,1372.0,491.0,1273.0,480.0
142,1308.0,533.0,1319.0,432.0
143,1373.0,494.0,1276.0,467.0
144,1368.0,483.0,1275.0,478.0
145,1372.0,492.0,1279.0,469.0
146,1334.0,523.0,1313.0,434.0
147,1367.0,493.0,1282.0,458.0
148,1373.0,479.0,1280.0,472.0
149,1351.0,438.0,1300.0,513.0
150,1365.0,449.0,1288.0,498.0
151,1366.0,474.0,1281.0,477.0
152,1369.0,481.0,1282.0,462.0
153,1366.0,490.0,1283.0,449.0
154,1369.0,486.0,1282.0,455.0
155,1371.0,463.0,1280.0,474.0
156,1350.0,432.0,1297.0,501.0
157,1365.0,474.0,1278.0,457.0
158,1366.0,466.0,1277.0,461.0
159,1358.0,484.0,1283.0,441.0
160,1363.0,479.0,1278.0,448.0
161,1352.0,482.0,1281.0,437.0
162,1345.0,432.0,1280.0,489.0
163,1348.0,435.0,1277.0,486.0
164,1351.0,443.0,1268.0,474.0
165,1350.0,465.0,1263.0,450.0
166,1343.0,473.0,1266.0,440.0
167,1341.0,470.0,1258.0,445.0
168,1337.0,468.0,1260.0,441.0
169,1308.0,415.0,1287.0,494.0
170,1315.0,421.0,1266.0,492.0
171,1330.0,446.0,1245.0,469.0
172,1327.0,454.0,1244.0,455.0
173,1324.0,493.0,1247.0,448.0
174,1316.0,482.0,1243.0,435.0
175,1308.0,436.0,1237.0,477.0
176,1280.0,419.0,1253.0,492.0
177,1292.0,431.0,1231.0,480.0
178,1298.0,458.0,1219.0,447.0
179,1292.0,438.0,1219.0,469.0
180,1287.0,458.0,1210.0,449.0
181,1202.0,450.0,1281.0,451.0
182,1203.0,431.0,1270.0,466.0
183,1269.0,439.0,1194.0,464.0
184,1272.0,453.0,1191.0,456.0
185,1261.0,425.0,1196.0,482.0
186,1188.0,430.0,1263.0,475.0
187,1245.0,424.0,1188.0,483.0
188,1173.0,443.0,1246.0,464.0
189,1228.0,422.0,1195.0,481.0
190,1233.0,470.0,1174.0,439.0
191,1238.0,458.0,1171.0,447.0
192,1219.0,483.0,1194.0,418.0
193,1186.0,511.0,1197.0,440.0
194,1220.0,494.0,1163.0,447.0
195,1216.0,485.0,1155.0,440.0
196,1214.0,495.0,1161.0,434.0
197,1229.0,468.0,1148.0,455.0
198,1172.0,522.0,1199.0,443.0
199,1169.0,494.0,1214.0,429.0
200,1218.0,476.0,1147.0,429.0
201,1190.0,497.0,1169.0,414.0
202,1156.0,484.0,1205.0,419.0
203,1219.0,488.0,1146.0,447.0
204,1192.0,474.0,1253.0,431.0
205,1165.0,498.0,1176.0,415.0
206,1222.0,488.0,1277.0,425.0
207,1109.0,464.0,1172.0,415.0
208,1174.0,475.0,1241.0,432.0
209,1176.0,471.0,1245.0,436.0
210,1279.0,514.0,1220.0,463.0
211,1167.0,477.0,1248.0,454.0
212,1186.0,493.0,1269.0,462.0
213,1183.0,492.0,1270.0,475.0
214,1185.0,483.0,1272.0,488.0
215,1188.0,518.0,1265.0,473.0
216,1186.0,508.0,1265.0,483.0
217,1195.0,522.0,1260.0,477.0
218,1204.0,530.0,1241.0,471.0
219,1208.0,495.0,1265.0,464.0
220,1198.0,473.0,1263.0,474.0
221,1206.0,454.0,1269.0,443.0
222,1202.0,470.0,1259.0,487.0
223,,,,
