frame,x,y,radius,x_axis,y_axis,z_axis,angle
111,1260.0,580.0,55.0,0.8066804882569217,0.1861406326037225,-0.5609084192267578,0.4728696442399128
112,1259.0,578.0,55.0,0.810537371680108,0.1827457647093176,-0.5564469018610034,0.4668937937539141
113,1264.0,576.0,54.0,0.8146454147207538,0.1791865810098319,-0.5515840982664909,0.462548238558418
114,1264.0,573.0,54.0,0.8189958021017312,0.1754913335273631,-0.5463045560825297,0.4577932780487673
115,1264.0,569.0,54.0,0.8235761312301945,0.1716875047260981,-0.5405975922891552,0.4526289122249624
116,1263.0,564.0,54.0,0.8283691329795175,0.1678012672254456,-0.5344598340795097,0.447055141087003
117,1268.0,560.0,53.0,0.8333518819545744,0.1638570166044066,-0.5278972617396989,0.4454158195722286
118,1267.0,555.0,53.0,0.8385084464006751,0.1598787744607612,-0.5209053299704767,0.4477109476806394
119,1267.0,551.0,53.0,0.8438177518215341,0.1558869420641622,-0.5134889122510207,0.4476894385222279
120,1272.0,549.0,52.0,0.8492542089345406,0.1518987493864965,-0.5056620002944516,0.4453512920969939
121,1271.0,546.0,52.0,0.8547926274526296,0.1479307473872613,-0.4974395018794509,0.4406965084049374
122,1270.0,542.0,52.0,0.8604069317797499,0.1439979436531656,-0.4888399574185977,0.4337250874460586
123,1275.0,541.0,52.0,0.866070182740066,0.1401140505460524,-0.4798859149924772,0.4257900250203004
124,1275.0,535.0,52.0,0.8717555559609805,0.1362933483985143,-0.4706021396397203,0.4281873218407719
125,1279.0,532.0,51.0,0.8774343452535365,0.1325485134791381,-0.461020456535248,0.4333081012511707
126,1279.0,527.0,51.0,0.8830758716707616,0.1288900825271258,-0.4511810628772835,0.4345729570735686
127,1285.0,521.0,51.0,0.8886506063599382,0.1253284525479278,-0.4411268284723295,0.4385098839399994
128,1284.0,515.0,51.0,0.8941275582285791,0.1218733071061925,-0.4309092788873297,0.4451188818504631
129,1289.0,515.0,50.0,0.8994748336109605,0.1185333116859569,-0.4205887275252331,0.4483441586932419
130,1288.0,512.0,50.0,0.9046615556758836,0.1153154255722622,-0.4102314253042768,0.4472004242348018
131,1288.0,510.0,50.0,0.9096577236231496,0.1122254422835488,-0.3999103348964756,0.4467958269098861
132,1293.0,508.0,50.0,0.91443455399894,0.1092668091767252,-0.3897052871916123,0.447130366718495
133,1293.0,507.0,50.0,0.9189652859356242,0.1064408236301825,-0.3797014015120102,0.4434466377247743
134,1298.0,506.0,49.0,0.9232257918427932,0.1037465601046788,-0.3699875518753213,0.4417381952408231
135,1299.0,505.0,49.0,0.9271951234409268,0.1011807610632819,-0.3606544837625338,0.4419828834998905
136,1304.0,503.0,49.0,0.930853045034302,0.0987383140643296,-0.3518001618619603,0.4441807025019765
